product_id,product_name,brand,price_inr,discounted_price_inr,discount_percent,material,color,seater_type,dimensions_cm,weight_kg,rating,num_reviews,style_category,cushion_type,leg_material,assembly_required,warranty_years,in_stock
P017,Classic Leather 2 Seater Sofa In Beige Colour,Stanley,26210,24900,5,Microfiber,Beige,2 Seater,172x76x82,89.2,3.9,485,Minimalist,Feather + Foam,Reclaimed Wood,No,1,Yes
P018,Bloom Jacquard 2 Seater Sofa In Sky Blue Colour,Zuari,15138,14200,6,Handloom Cotton,Sky Blue,2 Seater,172x76x82,37.8,4.2,563,Scandinavian,Pocket Spring,Teak Wood,Yes,10,Yes
P019,Futon Convertible 2 Seater Sofa In Floral Pink Colour,Pepperfry,19333,17000,12,Microfiber,Floral Pink,2 Seater,185x84x86,66.8,3.6,103,Modern,Bonded Foam,Metal,Yes,3,Yes
P020,Royale Silk Velvet 2 Seater Sofa In Royal Blue Colour,Featherlite,47970,43700,9,Printed Fabric,Royal Blue,2 Seater,185x84x86,71.9,3.9,343,Classic,Coil Spring,Sheesham Wood,No,2,No
P021,Maven Faux Leather 2 Seater Sofa In Rustic Brown Colour,Pepperfry,28289,24600,13,Fabric,Rustic Brown,2 Seater,168x74x82,42.3,4.0,90,Bohemian,Bonded Foam,Solid Rosewood,Yes,7,Yes
P022,Comfort Plus Fabric 2 Seater Sofa In Charcoal Colour,Woodcraft,38395,34900,9,Microfiber,Charcoal,2 Seater,175x78x82,49.5,4.8,586,Bohemian,High Resilience Foam,Stainless Steel,Yes,7,Yes
P023,Aria Fabric 2 Seater Sofa In Tan Colour,Damro,71458,67200,6,PU Leather,Tan,2 Seater,185x84x86,40.1,4.1,303,Vintage,Memory Foam,Sheesham Wood,No,7,Yes
P024,Imperio PU Leather 2 Seater Sofa In Off White Colour,Godrej Interio,11832,11000,7,Suede,Off White,2 Seater,188x86x92,87.0,4.5,172,Scandinavian,Feather + Foam,Brass Finished Wood,No,7,Yes
P025,Meadow Handloom 2 Seater Sofa In Cognac Colour,Springwel,15862,14100,11,Top Grain Leather,Cognac,2 Seater,165x72x78,72.5,4.5,382,Scandinavian,Foam + Spring,Solid Wood,No,3,Yes
P026,Posh Velvet 2 Seater Sofa In Graphite Colour,IKEA,32068,27300,15,Linen,Graphite,2 Seater,170x75x80,78.0,4.1,274,Mid-Century Modern,Foam + Fibre,Solid Oak,No,1,Yes
P027,Serene Microsuede 2 Seater Sofa In Dark Green Colour,Hometown,45001,39600,12,Silk Velvet,Dark Green,2 Seater,172x76x84,47.3,4.5,428,Rustic,Foam,Reclaimed Wood,Yes,5,Yes
P028,Tropicana Printed 2 Seater Sofa In Light Brown Colour,Pepperfry,14279,12900,10,Suede,Light Brown,2 Seater,185x84x86,66.9,5.0,59,Classic,High Resilience Foam,Walnut Wood,No,1,Yes
P029,Monarch Leather 2 Seater Sofa In Black Colour,Springwel,24174,22700,6,Polyester,Black,2 Seater,168x74x82,74.0,3.5,571,Minimalist,Bonded Foam,Brass Finished Wood,No,10,Yes
P030,Plush Fabric 2 Seater Sofa In Burgundy Colour,Durian,51618,44400,14,Jacquard Fabric,Burgundy,2 Seater,176x79x84,71.7,4.0,322,Minimalist,High Density Foam,Plastic,No,1,Yes
P031,Vintage Reclaimed 2 Seater Sofa In Ash Grey Colour,IKEA,14978,12900,14,Silk Velvet,Ash Grey,2 Seater,183x84x88,46.6,4.7,349,Luxury,Foam + Fibre,Solid Rosewood,No,3,Yes
P032,Alesund Fabric 2 Seater Sofa In Mustard Yellow Colour,Durian,38061,33500,12,Printed Fabric,Mustard Yellow,2 Seater,168x73x78,72.0,3.8,223,Bohemian,Foam + Fibre,Plastic,No,7,Yes
P033,Regal Chesterfield 2 Seater Sofa In Cream Colour,Stanley,81192,71400,12,Handloom Cotton,Cream,2 Seater,178x80x86,43.1,4.5,129,Traditional,High Density Foam,Reclaimed Wood,Yes,3,Yes
P034,Compact Polyester 2 Seater Sofa In Teal Colour,Nilkamal,33131,26800,19,Printed Fabric,Teal,2 Seater,172x76x84,71.7,5.0,344,Bohemian,Foam,Brass Finished Wood,Yes,5,No
P035,Comfy Microfiber 2 Seater Sofa In Graphite Colour,Furlenco,43102,32300,25,Printed Fabric,Graphite,2 Seater,170x75x80,50.3,4.7,516,Minimalist,High Resilience Foam,Reclaimed Wood,No,5,Yes
P036,Havana Leather 2 Seater Sofa In Dark Blue Colour,Furlenco,12267,11200,9,Leatherette,Dark Blue,2 Seater,174x78x84,47.7,4.5,239,Vintage,Coil Spring,Sheesham Wood,No,3,Yes
P037,Porto Velvet 2 Seater Sofa In Black Colour,Recliners India,19432,16100,17,Top Grain Leather,Black,2 Seater,172x76x82,61.2,4.9,325,Bohemian,Foam + Spring,Wood,No,3,Yes
P038,Cairo Linen 2 Seater Sofa In Light Brown Colour,IKEA,24472,20100,18,Top Grain Leather,Light Brown,2 Seater,185x80x88,61.7,4.1,434,Vintage,High Resilience Foam,Solid Oak,Yes,5,Yes
P039,Oslo Fabric 2 Seater Sofa In Cognac Colour,Furlenco,63894,51800,19,Linen,Cognac,2 Seater,178x80x84,45.0,3.9,355,Traditional,High Resilience Foam,Wood,Yes,1,Yes
P040,Kyoto Suede 2 Seater Sofa In Off White Colour,Recliners India,15733,13800,12,Silk Velvet,Off White,2 Seater,168x73x78,70.8,4.7,61,Casual,Foam + Spring,Teak Wood,No,1,Yes
P041,Lima Cotton 2 Seater Sofa In Teal Colour,Durian,27620,24000,13,Fabric,Teal,2 Seater,168x78x80,77.2,3.8,137,Traditional,Foam + Fibre,Sheesham Wood,No,1,Yes
P042,Vienna Chenille 2 Seater Sofa In Ivory Colour,Woodcraft,21246,16400,23,Chenille,Ivory,2 Seater,183x84x88,73.0,4.4,124,Traditional,Foam,Teak Wood,No,3,Yes
P043,Berlin Fabric 2 Seater Sofa In Tan Colour,Damro,79286,73700,7,Chenille,Tan,2 Seater,165x72x78,62.8,4.0,450,Industrial,Bonded Foam,Solid Oak,No,7,Yes
P044,Roma Leatherette 2 Seater Sofa In Dark Brown Colour,IKEA,52635,42100,20,Jacquard Fabric,Dark Brown,2 Seater,168x78x80,60.6,4.7,294,Luxury,Feather + Foam,Stainless Steel,No,1,Yes
P045,Seoul Velvet 2 Seater Sofa In Teal Colour,Pepperfry,18098,15400,15,Suede,Teal,2 Seater,180x80x85,45.0,3.8,284,Bohemian,Pocket Spring,Solid Oak,No,3,Yes
P046,Dubai Leather 2 Seater Sofa In Graphite Colour,Damro,87020,67900,22,Suede,Graphite,2 Seater,172x76x82,76.7,4.5,522,Artisanal,Foam,Brass Finished Wood,Yes,2,Yes
P047,Paris Jacquard 2 Seater Sofa In Grey Colour,Pepperfry,50508,39400,22,Cotton Fabric,Grey,2 Seater,172x76x84,64.2,4.1,583,Mid-Century Modern,Foam + Spring,Stainless Steel,No,10,Yes
P048,Tokyo Microfiber 2 Seater Sofa In Sky Blue Colour,Furlenco,18779,16900,10,Suede,Sky Blue,2 Seater,168x74x82,45.5,4.6,303,Casual,Coil Spring,Sheesham Wood,Yes,3,Yes
P049,Sydney Fabric 2 Seater Sofa In Earthy Brown Colour,Evok,35464,27700,22,Cotton Fabric,Earthy Brown,2 Seater,172x76x84,42.0,3.6,75,Modern,Pocket Spring,Teak Wood,No,1,Yes
P050,Tochi Fabric 2 Seater Sofa In Sky Blue Colour,Godrej Interio,77329,69600,10,Handloom Cotton,Sky Blue,2 Seater,175x78x82,88.1,3.9,509,Modern,Foam,Solid Rosewood,No,5,Yes
P051,Frejol Velvet 2 Seater Sofa In Beige Colour,Sarita Handa,33290,25600,23,Handloom Cotton,Beige,2 Seater,185x84x86,87.2,3.6,274,Modern,Bonded Foam,Plastic,Yes,1,Yes
P052,Jessy Fabric 2 Seater Sofa In Earthy Brown Colour,IKEA,75014,57800,23,Genuine Leather,Earthy Brown,2 Seater,180x80x85,69.2,4.4,121,Industrial,High Resilience Foam,Walnut Wood,No,2,No
P053,Bari Leatherette 2 Seater Sofa In Ash Grey Colour,Durian,12564,11900,5,Suede,Ash Grey,2 Seater,172x76x84,57.5,4.5,501,Luxury,High Density Foam,Solid Wood,Yes,7,Yes
P054,Alejandro Velvet 2 Seater Sofa In Teal Colour,Woodcraft,26966,24800,8,Cotton Fabric,Teal,2 Seater,185x84x86,65.0,4.5,292,Vintage,Feather + Foam,Metal,Yes,2,Yes
P055,Miranda Chenille 2 Seater Sofa In Beige Colour,Urban Ladder,17679,15200,14,Microfiber,Beige,2 Seater,190x85x90,73.5,4.9,532,Industrial,Coil Spring,Solid Rosewood,No,5,Yes
P056,Andres Chenille 2 Seater Sofa In Mustard Yellow Colour,Pepperfry,31048,23900,23,Velvet,Mustard Yellow,2 Seater,174x78x84,67.3,3.5,295,Minimalist,Memory Foam,Solid Rosewood,Yes,1,Yes
P057,Luxor Leatherette 2 Seater Sofa In Earthy Brown Colour,Nilkamal,17700,14900,16,Handloom Cotton,Earthy Brown,2 Seater,170x75x80,57.5,4.0,127,Artisanal,Feather + Foam,Teak Wood,No,5,Yes
P058,Scandic Wooden 2 Seater Sofa In Off White Colour,IKEA,15153,13200,13,Handloom Cotton,Off White,2 Seater,182x80x88,52.8,5.0,433,Casual,Foam + Spring,Solid Oak,Yes,5,Yes
P059,Casper Velvet 2 Seater Sofa In Cognac Colour,Wakefit,83970,78900,6,Top Grain Leather,Cognac,2 Seater,172x76x82,46.2,4.3,314,Bohemian,Foam + Spring,Wood,No,10,Yes
P060,Nordic Linen 2 Seater Sofa In Sky Blue Colour,@home,19048,15600,18,Chenille,Sky Blue,2 Seater,172x76x84,40.1,5.0,136,Contemporary,Bonded Foam,Solid Oak,Yes,2,Yes
P061,Elegance Suede 2 Seater Sofa In Dark Brown Colour,Godrej Interio,85948,75600,12,Handloom Cotton,Dark Brown,2 Seater,188x86x92,60.1,3.7,215,Vintage,Coil Spring,Brass Finished Wood,No,3,No
P062,Brio Polyester 2 Seater Sofa In Floral Pink Colour,Godrej Interio,44784,34500,23,Leatherette,Floral Pink,2 Seater,180x82x86,66.9,4.5,172,Casual,Foam + Spring,Mango Wood,No,1,Yes
P063,Luxe PU Leather 2 Seater Sofa In Caramel Colour,Springwel,29369,24400,17,Polyester,Caramel,2 Seater,180x80x85,47.8,4.7,64,Artisanal,High Resilience Foam,Walnut Wood,No,2,Yes
P064,Heritage Teak 2 Seater Sofa In Caramel Colour,Sarita Handa,38289,31000,19,Silk Velvet,Caramel,2 Seater,165x72x78,40.5,4.9,35,Luxury,Foam + Fibre,Reclaimed Wood,Yes,7,Yes
P065,Studio Cotton 2 Seater Sofa In Black Colour,Godrej Interio,52486,43600,17,Leatherette,Black,2 Seater,185x80x88,87.5,4.4,519,Bohemian,Coil Spring,Mango Wood,No,1,Yes
P066,Zen Recliner 2 Seater Sofa In Cream Colour,Damro,11646,9400,19,Leatherette,Cream,2 Seater,190x85x90,44.2,3.9,49,Mid-Century Modern,Coil Spring,Sheesham Wood,Yes,3,Yes
P067,Classic Leather 2 Seater Sofa In Dark Green Colour,Urban Ladder,66801,60100,10,Cotton Fabric,Dark Green,2 Seater,168x78x80,44.6,4.4,411,Classic,Memory Foam,Walnut Wood,Yes,7,Yes
P068,Bloom Jacquard 2 Seater Sofa In Teal Colour,@home,17622,15200,14,Linen,Teal,2 Seater,174x78x84,72.3,3.7,472,Mid-Century Modern,Feather + Foam,Plastic,No,2,No
P069,Futon Convertible 2 Seater Sofa In Royal Blue Colour,Woodcraft,61990,54600,12,Faux Leather,Royal Blue,2 Seater,175x78x82,56.0,4.0,322,Vintage,Coil Spring,Reclaimed Wood,Yes,3,No
P070,Royale Silk Velvet 2 Seater Sofa In Tan Colour,Wakefit,73757,64900,12,Silk Velvet,Tan,2 Seater,185x84x86,68.4,4.0,214,Casual,Foam,Solid Rosewood,Yes,10,Yes
P071,Maven Faux Leather 2 Seater Sofa In Dusty Rose Colour,Godrej Interio,39307,36600,7,Chenille,Dusty Rose,2 Seater,180x80x85,85.0,4.0,445,Luxury,Foam,Teak Wood,Yes,10,Yes
P072,Comfort Plus Fabric 2 Seater Sofa In Carbon Grey Colour,Zuari,46100,42400,8,Jacquard Fabric,Carbon Grey,2 Seater,170x75x80,60.8,3.6,251,Artisanal,High Resilience Foam,Teak Wood,No,5,Yes
P073,Aria Fabric 2 Seater Sofa In Burgundy Colour,Sarita Handa,17451,14700,16,Top Grain Leather,Burgundy,2 Seater,178x80x84,72.0,4.5,410,Classic,High Density Foam,Solid Oak,Yes,2,Yes
P074,Imperio PU Leather 2 Seater Sofa In Charcoal Colour,Hometown,30612,28500,7,Genuine Leather,Charcoal,2 Seater,182x80x88,69.9,4.2,329,Bohemian,Foam,Solid Rosewood,No,10,Yes
P075,Meadow Handloom 2 Seater Sofa In Dark Brown Colour,Godrej Interio,26368,21400,19,Velvet,Dark Brown,2 Seater,168x74x82,55.4,4.9,573,Contemporary,Coil Spring,Reclaimed Wood,Yes,2,Yes
P076,Posh Velvet 2 Seater Sofa In Burgundy Colour,Godrej Interio,16070,14300,11,Faux Leather,Burgundy,2 Seater,185x80x88,59.4,4.9,391,Luxury,High Density Foam,Reclaimed Wood,No,2,Yes
P077,Serene Microsuede 2 Seater Sofa In Dusty Rose Colour,Springwel,17450,16200,7,Top Grain Leather,Dusty Rose,2 Seater,178x80x84,71.5,4.5,41,Luxury,Memory Foam,Wood,No,2,Yes
P078,Tropicana Printed 2 Seater Sofa In Off White Colour,Stanley,33322,29300,12,Linen,Off White,2 Seater,168x73x78,53.1,3.7,22,Industrial,Bonded Foam,Sheesham Wood,Yes,10,Yes
P079,Monarch Leather 2 Seater Sofa In Carbon Grey Colour,Godrej Interio,15869,14000,12,Top Grain Leather,Carbon Grey,2 Seater,185x84x86,67.4,3.5,291,Casual,Foam + Fibre,Metal,Yes,1,Yes
P080,Plush Fabric 2 Seater Sofa In Burgundy Colour,IKEA,17405,13700,21,Printed Fabric,Burgundy,2 Seater,180x80x85,47.2,4.4,553,Modern,High Density Foam,Reclaimed Wood,No,7,Yes
P081,Vintage Reclaimed 2 Seater Sofa In Steel Grey Colour,Wakefit,59817,55600,7,Velvet,Steel Grey,2 Seater,185x84x86,52.7,3.7,149,Bohemian,Foam + Spring,Walnut Wood,Yes,5,Yes
P082,Alesund Fabric 2 Seater Sofa In Steel Grey Colour,Featherlite,61500,56600,8,Top Grain Leather,Steel Grey,2 Seater,185x80x88,81.9,4.5,584,Vintage,Memory Foam,Walnut Wood,No,5,Yes
P083,Regal Chesterfield 2 Seater Sofa In Ash Grey Colour,IKEA,15120,12400,18,Microsuede,Ash Grey,2 Seater,180x80x85,52.2,3.9,176,Mid-Century Modern,Foam + Spring,Mango Wood,No,3,Yes
P084,Compact Polyester 2 Seater Sofa In Caramel Colour,Pepperfry,29116,27400,6,Leatherette,Caramel,2 Seater,178x80x86,67.3,4.3,357,Rustic,High Density Foam,Metal,Yes,3,Yes
P085,Comfy Microfiber 2 Seater Sofa In Black Colour,Springwel,19468,15400,21,Faux Leather,Black,2 Seater,185x80x88,46.7,4.5,249,Rustic,Foam,Teak Wood,No,3,Yes
P086,Havana Leather 2 Seater Sofa In Charcoal Colour,Zuari,19977,17400,13,Jacquard Fabric,Charcoal,2 Seater,172x76x84,36.6,3.9,336,Modern,Coil Spring,Solid Rosewood,No,7,No
P087,Porto Velvet 2 Seater Sofa In Charcoal Colour,Wakefit,32141,24100,25,Microfiber,Charcoal,2 Seater,185x84x86,88.4,3.6,563,Rustic,Foam + Fibre,Solid Rosewood,No,1,Yes
P088,Cairo Linen 2 Seater Sofa In Black Colour,Furlenco,10861,9900,9,Polyester,Black,2 Seater,190x85x90,43.7,4.4,103,Scandinavian,Memory Foam,Teak Wood,No,10,Yes
P089,Oslo Fabric 2 Seater Sofa In Dusty Rose Colour,IKEA,15655,12800,18,Handloom Cotton,Dusty Rose,2 Seater,174x78x84,41.1,4.5,518,Traditional,Feather + Foam,Walnut Wood,Yes,7,Yes
P090,Kyoto Suede 2 Seater Sofa In Tan Colour,Urban Ladder,32573,29600,9,Genuine Leather,Tan,2 Seater,160x70x75,77.0,3.9,142,Minimalist,Bonded Foam,Wood,Yes,2,Yes
P091,Lima Cotton 2 Seater Sofa In Burgundy Colour,IKEA,37362,31000,17,Microfiber,Burgundy,2 Seater,188x86x92,82.4,3.6,39,Scandinavian,Foam + Spring,Brass Finished Wood,Yes,7,Yes
P092,Vienna Chenille 2 Seater Sofa In Beige Colour,Recliners India,16636,15800,5,Faux Leather,Beige,2 Seater,185x82x88,88.1,3.8,491,Traditional,Foam + Spring,Stainless Steel,No,2,Yes
P093,Berlin Fabric 2 Seater Sofa In Rustic Brown Colour,Springwel,16484,14200,14,Leatherette,Rustic Brown,2 Seater,178x80x86,76.0,3.8,192,Minimalist,High Density Foam,Sheesham Wood,No,7,Yes
P094,Roma Leatherette 2 Seater Sofa In Steel Grey Colour,Hometown,21685,19700,9,Printed Fabric,Steel Grey,2 Seater,176x80x84,49.1,3.8,176,Artisanal,Pocket Spring,Solid Oak,No,1,Yes
P095,Seoul Velvet 2 Seater Sofa In Steel Grey Colour,Pepperfry,45360,41300,9,Microfiber,Steel Grey,2 Seater,192x88x105,59.2,4.2,330,Industrial,Feather + Foam,Reclaimed Wood,No,10,Yes
P096,Dubai Leather 2 Seater Sofa In Royal Blue Colour,Urban Ladder,16041,13800,14,Jacquard Fabric,Royal Blue,2 Seater,180x80x85,39.2,4.8,112,Artisanal,High Density Foam,Teak Wood,No,1,Yes
P097,Paris Jacquard 2 Seater Sofa In Floral Pink Colour,Sarita Handa,25268,19200,24,Microsuede,Floral Pink,2 Seater,190x85x90,61.2,3.7,83,Traditional,High Resilience Foam,Solid Oak,Yes,5,Yes
P098,Tokyo Microfiber 2 Seater Sofa In Dark Green Colour,Recliners India,25963,21800,16,Leatherette,Dark Green,2 Seater,172x76x84,85.5,4.1,366,Artisanal,Foam + Fibre,Wood,No,5,Yes
P099,Sydney Fabric 2 Seater Sofa In Cream Colour,Recliners India,54750,49800,9,Leatherette,Cream,2 Seater,185x84x86,53.3,4.4,164,Classic,High Density Foam,Brass Finished Wood,No,2,No
P100,Tochi Fabric 2 Seater Sofa In Tan Colour,Sarita Handa,30980,24500,21,Linen,Tan,2 Seater,182x80x88,40.1,4.5,540,Traditional,High Density Foam,Teak Wood,No,3,Yes
P101,Frejol Velvet 2 Seater Sofa In Charcoal Colour,Woodcraft,22539,21000,7,Microfiber,Charcoal,2 Seater,180x82x84,51.3,4.7,539,Mid-Century Modern,Memory Foam,Solid Oak,Yes,2,Yes
P102,Jessy Fabric 2 Seater Sofa In Cognac Colour,Evok,65110,58600,10,Velvet,Cognac,2 Seater,185x80x88,44.9,4.5,189,Luxury,Memory Foam,Solid Oak,Yes,10,Yes
P103,Bari Leatherette 2 Seater Sofa In Cream Colour,IKEA,28750,25300,12,Jacquard Fabric,Cream,2 Seater,185x80x88,52.0,4.7,500,Luxury,Pocket Spring,Reclaimed Wood,No,5,No
P104,Alejandro Velvet 2 Seater Sofa In Ash Grey Colour,Springwel,33128,25200,24,Microsuede,Ash Grey,2 Seater,178x80x84,42.6,3.9,512,Bohemian,Coil Spring,Solid Oak,No,1,Yes
P105,Miranda Chenille 2 Seater Sofa In Olive Green Colour,Hometown,88644,80700,9,Printed Fabric,Olive Green,2 Seater,168x73x78,80.7,3.6,247,Rustic,High Density Foam,Teak Wood,Yes,2,Yes
P106,Andres Chenille 2 Seater Sofa In Graphite Colour,Springwel,60349,50700,16,Fabric,Graphite,2 Seater,180x82x86,47.3,4.0,121,Minimalist,Foam,Walnut Wood,No,2,Yes
P107,Luxor Leatherette 2 Seater Sofa In Steel Grey Colour,Recliners India,55345,51500,7,Linen,Steel Grey,2 Seater,180x82x84,36.0,3.8,173,Scandinavian,Foam,Teak Wood,Yes,5,Yes
P108,Scandic Wooden 2 Seater Sofa In Burgundy Colour,Damro,10782,9500,12,Printed Fabric,Burgundy,2 Seater,175x78x82,58.1,4.7,488,Minimalist,High Density Foam,Solid Oak,Yes,2,Yes
P109,Casper Velvet 2 Seater Sofa In Cognac Colour,@home,55103,41900,24,Top Grain Leather,Cognac,2 Seater,172x76x84,54.4,4.4,211,Contemporary,High Resilience Foam,Solid Rosewood,Yes,2,Yes
P110,Nordic Linen 2 Seater Sofa In Beige Colour,Evok,57854,43400,25,Jacquard Fabric,Beige,2 Seater,180x82x86,56.3,4.1,36,Modern,High Resilience Foam,Brass Finished Wood,Yes,3,Yes
P111,Elegance Suede 2 Seater Sofa In Beige Colour,Springwel,15772,12300,22,Genuine Leather,Beige,2 Seater,183x84x88,53.6,4.5,495,Vintage,High Density Foam,Solid Oak,No,1,No
P112,Brio Polyester 2 Seater Sofa In Caramel Colour,Nilkamal,34513,32400,6,Linen,Caramel,2 Seater,175x78x82,52.4,4.0,427,Modern,Feather + Foam,Wood,Yes,1,No
P113,Luxe PU Leather 2 Seater Sofa In Olive Green Colour,@home,39079,32800,16,Suede,Olive Green,2 Seater,176x80x84,59.0,4.1,470,Contemporary,Pocket Spring,Teak Wood,Yes,3,Yes
P114,Heritage Teak 2 Seater Sofa In Red Colour,Recliners India,60173,49300,18,Microfiber,Red,2 Seater,180x82x86,68.1,4.7,578,Bohemian,Feather + Foam,Mango Wood,No,1,Yes
P115,Studio Cotton 2 Seater Sofa In Dark Brown Colour,Pepperfry,78039,63200,19,Polyester,Dark Brown,2 Seater,180x80x85,37.3,4.8,381,Luxury,Coil Spring,Teak Wood,No,1,Yes
P116,Zen Recliner 2 Seater Sofa In Black Colour,FabIndia,33905,25800,24,Velvet,Black,2 Seater,180x82x86,72.3,4.2,149,Modern,Foam + Spring,Mango Wood,Yes,1,Yes
P117,Classic Leather 2 Seater Sofa In Earthy Brown Colour,Springwel,47191,38200,19,Jacquard Fabric,Earthy Brown,2 Seater,185x80x88,77.0,4.4,562,Minimalist,Bonded Foam,Wood,Yes,5,Yes
P118,Bloom Jacquard 2 Seater Sofa In Off White Colour,FabIndia,62718,54600,13,Genuine Leather,Off White,2 Seater,170x75x80,77.6,4.6,239,Modern,Foam,Stainless Steel,No,7,No
P119,Futon Convertible 2 Seater Sofa In Tan Colour,@home,15236,12800,16,PU Leather,Tan,2 Seater,180x80x85,74.0,4.3,317,Modern,Foam + Fibre,Metal,Yes,5,Yes
P120,Royale Silk Velvet 2 Seater Sofa In Light Brown Colour,Nilkamal,23879,19100,20,Microfiber,Light Brown,2 Seater,172x76x84,36.4,4.3,397,Industrial,Memory Foam,Brass Finished Wood,Yes,2,Yes
P121,Maven Faux Leather 2 Seater Sofa In Olive Green Colour,Godrej Interio,81833,63000,23,Leatherette,Olive Green,2 Seater,188x86x92,39.1,5.0,95,Modern,Coil Spring,Walnut Wood,No,7,Yes
P122,Comfort Plus Fabric 2 Seater Sofa In Dusty Rose Colour,Evok,87956,82700,6,Jacquard Fabric,Dusty Rose,2 Seater,183x84x88,80.7,4.3,331,Scandinavian,High Resilience Foam,Plastic,Yes,1,Yes
P123,Aria Fabric 2 Seater Sofa In Off White Colour,Stanley,39102,29300,25,Jacquard Fabric,Off White,2 Seater,174x78x84,51.7,4.3,534,Artisanal,Coil Spring,Metal,Yes,7,Yes
P124,Imperio PU Leather 2 Seater Sofa In Royal Blue Colour,Featherlite,10464,9700,7,Linen,Royal Blue,2 Seater,185x80x88,37.5,4.5,291,Scandinavian,Bonded Foam,Stainless Steel,No,10,Yes
P125,Meadow Handloom 2 Seater Sofa In Earthy Brown Colour,Featherlite,71049,59000,17,Faux Leather,Earthy Brown,2 Seater,185x82x88,51.4,3.6,81,Traditional,Foam,Reclaimed Wood,No,2,Yes
P126,Posh Velvet 2 Seater Sofa In Black Colour,@home,48066,43700,9,Microsuede,Black,2 Seater,168x78x80,76.8,4.3,128,Mid-Century Modern,Memory Foam,Solid Rosewood,No,3,Yes
P127,Serene Microsuede 2 Seater Sofa In Mustard Yellow Colour,Hometown,82403,72500,12,Suede,Mustard Yellow,2 Seater,168x74x82,87.9,4.9,355,Bohemian,Pocket Spring,Solid Wood,Yes,2,No
